"Algolia Search Products", "Algolia Sök Produkter"
"Rebuild products.", "Bygg om produkter."
"Algolia Search Categories", "Algolia Sök Kategorier"
"Rebuild categories.", "Bygg om kategorier."
"Algolia Search Pages", "Algolia Sök Sidor"
"Rebuild pages.", "Bygg om sidor."
"Algolia Search Suggestions", "Algolia Sök Förslag"
"Rebuild suggestions.", "Bygg om förslag."
"Rebuild additional sections.", "Bygg om extra sektioner."
"Please enable the queueing system to do it asynchronously (CRON) if you have a lot of products in System > Configuration > Algolia Search > Queue configuration", "Vänligen aktivera kösystemet för att göra det asynkront (CRON) om du har en många produkter i System > Konfiguration > Algolia Sök > Queue configuration"
"Algolia Search Queue Runner", "Algolia Search Queue Runner"
"Process the queue if enabled. This allow to run jobs in the queue", "Bearbeta kön om den är aktiverad. Detta gör det möjligt att köra jobb i kön"
"Section", "Sektion"
"Label", "Etikett"
"Hits per page", "Träffar per sida"
"Add Section", "Lägg till Sektion"
"Attribute", "Attribut"
"Searchable", "Sökbar"
"Retrievable", "Hämtbar"
"Ordered", "Sorterad"
"Add Attribute", "Lägg till Attribut"
"Asc / Desc", "Stigande / Minskande"
"Add Ranking Criterion", "Lägg till Ranking Kriterium"
"Facet type", "Facet typ"
"Add Facet", "Lägg till Facet"
"Sort", "Sortera"
"Add Sorting Attribute", "Lägg till Sorteringsattribut"
"Pages", "Sidor"
"Add Excluded Page", "Lägg till Utesluten Sida"
"Search by", "Sök efter"
"Search for products, categories, ...", "Sök efter produkter, kategorier, ..."
"Search:", "Sök:"
"in", "i"
"Categories", "Kategorier"
"Products", "Produkter"
"Refine", "Finslipa"
"Current search", "Nuvarande sökning"
"Search for products", "Sök efter produkter"
"SORT BY", "SORTERA EFTER"
"Add to Cart", "Lägg i kundvagn"
"result", "resultat"
"results found", "resultat hittade"
"seconds", "sekunder"
"Relevance", "Relevans"
"No products for query", "Inga produkter för frågan"
"You can try one of the popular search queries", "Du kan prova en av de populära sökfrågorna"
"or", "eller"
"See all products", "Visa alla produkter"
"Selected Filters", "Valda filter"
"Clear all", "Rensa alla"
"Previous page", "Föregående sida"
"Next page", "Nästa sida"
"to", "till"
"Go", "Kör"
"No results", "Inga resultat"
"All departments", "Alla avdelningar"
"See products in", "Visa produkter i"
"or in", "eller i"
"Base Image","Bild på produktsida"
"Small Image","Bild i kategorivy"
"Thumbnail","Bild i varukorg"
"None", "Ingen"
"AllOptional", "AllOptional"
"LastWords", "LastWords"
"FirstWords", "FirstWords"
"Synonyms (comma-separated)", "Synonymer (comma-separerade)"
"Add Synonyms", "Lägg till Synonymer"
"Add One-way Synonyms", "Lägg till One-way Synonymer"
"Input", "Input"
"Synonyms", "Synonymer"
"One-way Synonyms", "One-way Synonymer"
"Synonyms File", "Fil för Synonymer"
